date,users,pageviews
2009-09-14,13114,175790
2009-09-15,11072,130024
2009-09-16,6067,73247
2009-09-17,7647,102643
2009-09-18,3329,44021
2009-09-19,1529,17564
2009-09-20,1694,15412
2009-09-21,1694,16360
2009-09-22,1451,13535
2009-09-23,1410,18553
2009-09-24,1781,22171
2009-09-25,2120,22702
2009-09-26,2216,27716
2009-09-27,1465,12061
2009-09-28,1644,17038
2009-09-29,1044,8517
2009-09-30,870,8402
2009-10-01,948,8182
2009-10-02,962,8778
2009-10-03,444,4089
2009-10-04,476,3842
2009-10-05,696,6264
2009-10-06,879,4904
2009-10-07,1479,12821
2009-10-08,810,7445
2009-10-09,682,5028
2009-10-10,531,3961
2009-10-11,646,5101
2009-10-12,760,6158
2009-10-13,788,5023
2009-10-14,641,4231
2009-10-15,719,3988
2009-10-16,641,3874
2009-10-17,375,2637
2009-10-18,435,3178
2009-10-19,669,2706
2009-10-20,595,3356
2009-10-21,765,5105
2009-10-22,774,7454
2009-10-23,934,10353
2009-10-24,769,5353
2009-10-25,742,5829
2009-10-26,966,8150
2009-10-27,1062,7683
2009-10-28,710,4025
2009-10-29,687,4927
2009-10-30,554,3343
2009-10-31,316,2550
2009-11-01,408,4235
2009-11-02,737,3352
2009-11-03,815,5902
2009-11-04,788,5554
2009-11-05,792,5815
2009-11-06,710,6149
2009-11-07,472,3448
2009-11-08,476,3297
2009-11-09,641,3443
2009-11-10,563,3681
2009-11-11,618,3072
2009-11-12,870,5325
2009-11-13,870,5458
2009-11-14,595,4968
2009-11-15,646,3997
2009-11-16,984,5165
2009-11-17,769,3883
2009-11-18,636,3205
2009-11-19,705,3036
2009-11-20,696,3562
2009-11-21,380,3027
2009-11-22,549,3100
2009-11-23,778,3553
2009-11-24,824,3384
2009-11-25,847,4638
2009-11-26,723,2866
2009-11-27,549,2596
2009-11-28,522,1891
2009-11-29,728,2125
2009-11-30,774,2720
2009-12-01,641,2637
2009-12-02,719,3082
2009-12-03,714,3924
2009-12-04,843,8773
2009-12-05,820,8155
2009-12-06,554,2024
2009-12-07,829,3256
2009-12-08,1332,9858
2009-12-09,852,5243
2009-12-10,833,4803
2009-12-11,852,4789
2009-12-12,582,2294
2009-12-13,490,3778
2009-12-14,1227,8173
2009-12-15,737,5229
2009-12-16,540,3393
2009-12-17,614,3013
2009-12-18,614,3736
2009-12-19,339,2244
2009-12-20,293,2125
2009-12-21,508,2198
2009-12-22,636,3425
2009-12-23,444,2541
2009-12-24,325,1699
2009-12-25,206,1342
2009-12-26,275,1836
2009-12-27,284,2766
2009-12-28,595,2894
2009-12-29,623,2505
2009-12-30,362,1493
2009-12-31,293,1717
2010-01-01,375,1374
2010-01-02,495,1818
2010-01-03,417,1845
2010-01-04,659,3608
2010-01-05,563,3159
2010-01-06,435,2898
2010-01-07,444,1836
2010-01-08,453,1429
2010-01-09,348,1722
2010-01-10,614,1978
2010-01-11,1039,6099
2010-01-12,1154,5948
2010-01-13,714,5009
2010-01-14,783,4249
